0,1,2
DEMAT4_c11,13.05235,DEMAT4_c11: 2tdeacp-c_c11 + cpd00004_c11 + cpd00067_c11 --> cpd00003_c11 + decacp-c_c11
rxn00410_c11,0.121543446,rxn00410_c11: cpd00002_c11 + cpd00013_c11 + cpd00062_c11 --> cpd00008_c11 + cpd00009_c11 + cpd00052_c11 + cpd00067_c11
rxn30041_c11,0,rxn30041_c11: cpd00001_c11 + cpd00133_c11 --> cpd00218_c11 + cpd19013_c11
CA2abc1_c11,0,CA2abc1_c11: cpd00001_c11 + cpd00002_c11 + cpd29674_c11 --> cpd00008_c11 + cpd00009_c11 + cpd00067_c11 + cpd29674_e2
PSULF_e2,0,PSULF_e2: cpd00074_e2 + cpd00239_e2 <=> 2.0 cpd00067_e2 + ss-e_e2
rxn01673_c11,0,rxn01673_c11: cpd00002_c11 + cpd00533_c11 <=> cpd00008_c11 + cpd00356_c11
EPPP_c11,0,EPPP_c11: cpd00001_c11 + polypi-c_c11 --> cpd00009_c11 + 2.0 cpd00067_c11
MCMAT2_c11,0,MCMAT2_c11: butacp-c_c11 + cpd00067_c11 + malacp-c_c11 --> 3oxhacp-c_c11 + acp-c_c11 + cpd00011_c11
rxn02288_c11,0,rxn02288_c11: 4.0 cpd00067_c11 + cpd00774_c11 --> 4.0 cpd00011_c11 + cpd02083_c11
rxn02213_c11,0,rxn02213_c11: cpd00699_c11 <=> cpd00001_c11 + cpd01716_c11
rxn04945_c11,0,rxn04945_c11: cpd00006_c11 + cpd00027_c11 --> cpd00005_c11 + cpd00067_c11 + cpd00170_c11
rxn02305_c11,0,rxn02305_c11: cpd00067_c11 + cpd02654_c11 + cpd02894_c11 --> cpd00012_c11 + cpd00793_c11
PC20M_c11,0,PC20M_c11: cpd00017_c11 + cpd03426_c11 --> cpd00019_c11 + cpd00067_c11 + cpd03420_c11
rxn05313_c11,0,rxn05313_c11: cpd00009_e2 + 3.0 cpd00971_e2 <=> cpd00009_c11 + 3.0 cpd00971_c11
rxn00789_c11,0,rxn00789_c11: cpd00002_c11 + cpd00103_c11 --> cpd00012_c11 + cpd01775_c11
SHCHD_c11,0,SHCHD_c11: cpd00006_c11 + cpd03426_c11 --> cpd00005_c11 + 2.0 cpd00067_c11 + cpd15658_c11
rxn00141_c11,0,rxn00141_c11: cpd00001_c11 + cpd00019_c11 <=> cpd00135_c11 + cpd00182_c11
rxn05605_c11,0,rxn05605_c11: cpd00067_e2 + cpd00130_e2 <=> cpd00067_c11 + cpd00130_c11
rxn30322_c11,0,rxn30322_c11: cpd00113_c11 + cpd19241_c11 --> cpd00012_c11 + cpd02229_c11
rxn01512_c11,0,rxn01512_c11: cpd00002_c11 + cpd00297_c11 <=> cpd00008_c11 + cpd00357_c11
rxn09997_c11,0,rxn09997_c11: cpd00001_c11 + cpd02140_c11 --> 0.5 cpd00007_c11 + cpd00009_c11 + cpd00229_c11 + cpd00939_c11
rxn01255_c11,0,rxn01255_c11: cpd00932_c11 --> cpd00009_c11 + cpd00216_c11
rxn08173_c11,59.77087297,rxn08173_c11: cpd00008_c11 + cpd00009_c11 + 4.0 cpd00067_e2 --> cpd00001_c11 + cpd00002_c11 + 3.0 cpd00067_c11
rxn10453_c11,0,rxn10453_c11: cpd00001_c11 + cpd00002_c11 + cpd01012_e2 --> cpd00008_c11 + cpd00009_c11 + cpd00067_c11 + cpd01012_c11
NADH5_c11,0,NADH5_c11: cpd00004_c11 + 3.0 cpd00067_c11 + cpd11606_c11 --> cpd00003_c11 + 2.0 cpd00067_e2 + cpd23255_c11
rxn02277_c11,0,rxn02277_c11: cpd00002_c11 + cpd00011_c11 + cpd00764_c11 --> cpd00008_c11 + cpd00009_c11 + 3.0 cpd00067_c11 + cpd01311_c11
rxn30333_c11,0.400970554,rxn30333_c11: cpd00020_c11 + cpd00067_c11 + cpd00094_c11 --> cpd00011_c11 + cpd19045_c11
rxn30075_c11,0,rxn30075_c11: cpd00001_c11 + cpd00003_c11 + cpd00023_c11 <-- cpd00004_c11 + cpd00024_c11 + cpd00067_c11 + cpd19013_c11
rxn05555_c11,0,rxn05555_c11: cpd00001_c11 + cpd00002_c11 + cpd10515_e2 --> cpd00008_c11 + cpd00009_c11 + cpd00067_c11 + cpd10515_c11
rxn00790_c11,0,rxn00790_c11: cpd00001_c11 + cpd00053_c11 + cpd00103_c11 --> cpd00012_c11 + cpd00023_c11 + cpd01982_c11
rxn01466_c11,0,rxn01466_c11: cpd00113_c11 + cpd00283_c11 --> cpd00012_c11 + cpd00350_c11
rxn00014_c11,0,rxn00014_c11: cpd00025_c11 + 2.0 cpd00067_c11 + 2.0 cpd00110_c11 --> 2.0 cpd00001_c11 + 2.0 cpd00109_c11
rxn00117_c11,0,rxn00117_c11: cpd00002_c11 + cpd00014_c11 <=> cpd00008_c11 + cpd00062_c11
rxn03137_c11,0,rxn03137_c11: cpd00201_c11 + cpd02851_c11 <=> cpd00087_c11 + cpd02884_c11
rxn05211_c11,105.6880314,rxn05211_c11: cpd00067_e2 + cpd00137_e2 <=> cpd00067_c11 + cpd00137_c11
rxn01513_c11,0,rxn01513_c11: cpd00002_c11 + cpd00298_c11 <=> cpd00008_c11 + cpd00297_c11
HTDHL6_c11,0,HTDHL6_c11: 3htdacp-c_c11 --> 2ttdeacp-c_c11 + cpd00001_c11
rxn00198_c11,0,rxn00198_c11: cpd00006_c11 + cpd00260_c11 <=> cpd00005_c11 + cpd00011_c11 + cpd00024_c11
rxn05244_c11,0,rxn05244_c11: cpd00067_e2 + cpd00322_e2 <=> cpd00067_c11 + cpd00322_c11
HOCHL3_c11,0,HOCHL3_c11: 3hocacp-c_c11 --> 2toceacp-c_c11 + cpd00001_c11
rxn00909_c11,0,rxn00909_c11: cpd00067_c11 + cpd00125_c11 + cpd00982_c11 --> cpd00015_c11 + cpd00345_c11
rxn09240_c11,0,rxn09240_c11: cpd00001_c11 + cpd00002_c11 + cpd00038_c11 + cpd00048_c11 --> cpd00009_c11 + cpd00012_c11 + cpd00031_c11 + cpd00193_c11
GLNSP3_c11,0,GLNSP3_c11: cpd00002_c11 + cpd00013_c11 + cpd22495_c11 --> cpd00008_c11 + cpd00009_c11 + cpd03496_c11
